Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
304,0.3144,0.3974,0.4496,0.5053,0.5198
305,0.3107,0.3922,0.4546,0.4826,0.5152
306,0.3167,0.3969,0.4465,0.4758,0.5174
307,0.3139,0.3636,0.4258,0.4858,0.5194
308,0.3126,0.3967,0.4658,0.5034,0.5024
309,0.3152,0.3926,0.4311,0.4823,0.5241
310,0.3113,0.4058,0.434,0.5023,0.5205
311,0.3132,0.3803,0.4504,0.4834,0.5152
312,0.313,0.4117,0.4564,0.4883,0.4994
313,0.3062,0.3973,0.447,0.5038,0.5173
314,0.3255,0.3857,0.4535,0.4795,0.5188
315,0.3138,0.4038,0.436,0.5008,0.5215
316,0.3183,0.3978,0.4289,0.4904,0.5222
317,0.3166,0.3978,0.4479,0.4904,0.5113
318,0.3193,0.398,0.4394,0.4857,0.5181
319,0.3068,0.3896,0.4369,0.4751,0.52
320,0.3115,0.3956,0.4679,0.4941,0.5211
321,0.3161,0.4003,0.4551,0.513,0.5044
322,0.3058,0.4124,0.4726,0.491,0.5139
323,0.326,0.4186,0.4584,0.5026,0.5098
324,0.3098,0.3958,0.476,0.4991,0.5153
325,0.316,0.3873,0.4525,0.5054,0.5154
326,0.3142,0.4156,0.4419,0.4998,0.5163
327,0.3084,0.408,0.4367,0.4985,0.5106
328,0.3153,0.398,0.427,0.4979,0.5043
329,0.3101,0.396,0.4502,0.4951,0.5114
330,0.3146,0.3789,0.436,0.491,0.4992
331,0.3161,0.3926,0.4401,0.4938,0.5133
332,0.3155,0.3977,0.4633,0.5084,0.523
333,0.3088,0.3945,0.4656,0.4987,0.5095
334,0.3147,0.3839,0.4542,0.49,0.5102
335,0.3172,0.3834,0.4451,0.4801,0.5055
336,0.3133,0.3844,0.4434,0.492,0.5067
337,0.3214,0.3856,0.446,0.4836,0.5185
338,0.3083,0.4166,0.4554,0.4999,0.5108
339,0.3242,0.4008,0.4435,0.4899,0.5314
340,0.3204,0.4145,0.4321,0.4882,0.5138
