Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
165,0.5328,0.5,0.6336,0.5798,0.6167,0.7614,0.7042,0.8698,0.3165
166,0.5387,0.5059,0.6552,0.6124,0.6617,0.7957,0.7523,0.9089,0.3118
167,0.5584,0.5016,0.6373,0.5955,0.6378,0.7294,0.7231,0.8127,0.3085
168,0.5837,0.5426,0.6535,0.6266,0.662,0.7313,0.7341,0.8077,0.3136
169,0.4753,0.5934,0.5734,0.647,0.6743,0.6902,0.7257,0.7907,0.3179
170,0.4875,0.5993,0.5794,0.6551,0.686,0.6801,0.7423,0.773,0.3083
171,0.5909,0.604,0.6819,0.7001,0.7498,0.7715,0.8475,0.8646,0.3263
172,0.5079,0.6006,0.6021,0.6723,0.7157,0.7172,0.8069,0.8141,0.3169
173,0.4969,0.5986,0.6116,0.6903,0.7425,0.7424,0.8408,0.8556,0.3178
174,0.5526,0.5728,0.6617,0.6352,0.6696,0.7961,0.7345,0.9047,0.321
175,0.5265,0.5635,0.6144,0.6311,0.6649,0.7143,0.7239,0.8149,0.3191
176,0.5611,0.4939,0.6452,0.5805,0.6207,0.7447,0.7013,0.8371,0.3111
177,0.5292,0.631,0.6258,0.7103,0.746,0.7345,0.821,0.834,0.319
178,0.5597,0.5634,0.6321,0.6708,0.7271,0.7083,0.8437,0.7873,0.3159
179,0.4814,0.5401,0.6074,0.6311,0.6769,0.766,0.7598,0.884,0.3231
180,0.5302,0.6216,0.6198,0.7164,0.7617,0.7029,0.8498,0.7927,0.3173
181,0.5556,0.5044,0.6211,0.5698,0.6103,0.6922,0.6951,0.766,0.3107
182,0.5512,0.6059,0.6132,0.67,0.704,0.6823,0.7765,0.7516,0.3222
183,0.4338,0.6319,0.546,0.6929,0.7225,0.6768,0.7869,0.7812,0.312
184,0.5265,0.5646,0.6357,0.6587,0.7109,0.781,0.8098,0.8893,0.3104
185,0.5393,0.6426,0.6476,0.7157,0.7517,0.7759,0.8359,0.887,0.327
186,0.4945,0.6224,0.597,0.6768,0.7053,0.7248,0.7655,0.8368,0.3125
187,0.5667,0.5414,0.6413,0.6078,0.6384,0.7275,0.7005,0.8108,0.3228
188,0.4863,0.5745,0.5778,0.6584,0.6996,0.6771,0.7744,0.766,0.3164
189,0.4667,0.5609,0.597,0.6624,0.7147,0.759,0.8232,0.8917,0.3164
190,0.5951,0.5605,0.6868,0.675,0.7285,0.8007,0.8337,0.897,0.3149
191,0.4835,0.6147,0.6022,0.6702,0.6985,0.751,0.7591,0.8678,0.3165
192,0.5203,0.5558,0.6301,0.6733,0.7295,0.7608,0.8451,0.8723,0.3115
193,0.4893,0.6396,0.6214,0.7239,0.764,0.7733,0.8491,0.9015,0.3085
194,0.4563,0.5762,0.5762,0.6618,0.701,0.7221,0.7735,0.8338,0.3147
195,0.4643,0.5495,0.5884,0.6272,0.6669,0.7416,0.7618,0.861,0.3044
196,0.4987,0.542,0.6034,0.618,0.6565,0.729,0.7353,0.8268,0.3101
197,0.486,0.5252,0.5722,0.621,0.6722,0.669,0.772,0.7541,0.3227
198,0.4787,0.6322,0.5931,0.7152,0.7527,0.7327,0.8317,0.8443,0.3244
199,0.5584,0.6337,0.6223,0.7064,0.7433,0.6869,0.8195,0.7593,0.321
200,0.5216,0.592,0.6505,0.6848,0.7279,0.8039,0.8122,0.9241,0.3269
201,0.577,0.5998,0.6741,0.6653,0.6978,0.7872,0.7689,0.8837,0.3213
202,0.5706,0.5083,0.6457,0.5855,0.6259,0.7285,0.7099,0.8134,0.3083
203,0.5091,0.566,0.5989,0.6516,0.6866,0.7088,0.7642,0.7969,0.3215
204,0.4892,0.5532,0.6212,0.6355,0.6751,0.7914,0.7579,0.9222,0.3071
205,0.498,0.5618,0.5814,0.6412,0.6837,0.6754,0.7684,0.7574,0.3087
206,0.4686,0.5498,0.5871,0.6635,0.7188,0.7393,0.8375,0.8513,0.3162
207,0.443,0.5274,0.5405,0.5944,0.6313,0.6693,0.7157,0.7686,0.3202
208,0.4246,0.6378,0.5312,0.7218,0.766,0.6661,0.8431,0.7674,0.3238
209,0.4755,0.5823,0.5886,0.6501,0.6812,0.731,0.744,0.8489,0.3127
210,0.552,0.5415,0.6597,0.6379,0.6848,0.785,0.7776,0.8971,0.3129
211,0.4325,0.6005,0.5335,0.6618,0.6873,0.6723,0.74,0.7724,0.3219
212,0.5394,0.5403,0.653,0.6163,0.6535,0.7965,0.7206,0.9134,0.3199
213,0.5589,0.5576,0.67,0.6566,0.7093,0.8095,0.8031,0.9185,0.3243
214,0.54,0.5869,0.6461,0.6881,0.7389,0.7764,0.8377,0.8894,0.3166
215,0.4802,0.6354,0.6123,0.693,0.7231,0.7768,0.7768,0.9113,0.3232
216,0.4692,0.5312,0.58,0.6264,0.6799,0.7105,0.7805,0.8172,0.3186
217,0.5067,0.5214,0.6293,0.5909,0.6279,0.7816,0.6956,0.8996,0.3193
